mOTU,K00024,K00031,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K01006,K01007,K01595,K01676,K01677,K01678,K01679,K01681,K01682,K01902,K01903,K01958,K01959,K01960,K03737,K15230,K15231,K15232,K15234,K18556,K18557,K18560
COMPLETE-SET-AND-BULK_mOTU_012,2,1,1,1,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,2,2,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0
COMPLETE-SET-AND-BULK_mOTU_047,2,4,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,3,0,0,0,4,4,0,3,0,0,0,3,3,2,0,0,0,0,0,2,0,0
COMPLETE-SET-AND-BULK_mOTU_057,6,7,0,0,7,0,0,0,0,0,7,0,0,7,7,7,0,0,6,0,0,0,6,6,6,5,0,0,0,5,0,5,0,0,0,0,0,7,0,0
COMPLETE-SET-AND-BULK_mOTU_070,5,4,0,0,4,0,0,0,0,0,5,0,0,5,5,4,0,5,4,0,0,0,5,5,0,5,0,0,0,5,5,0,0,0,0,0,0,4,0,0
COMPLETE-SET-AND-BULK_mOTU_074,1,1,2,2,2,2,0,1,2,1,0,0,0,1,1,1,0,0,1,2,0,1,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0
COMPLETE-SET-AND-BULK_mOTU_121,3,4,2,0,4,0,0,0,4,0,4,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,0,4,4,3,1,3,0,0,0,4,0,3,0,0
COMPLETE-SET-AND-BULK_mOTU_150,3,3,0,0,2,0,0,0,0,0,3,0,0,2,3,2,0,0,3,0,0,0,3,3,0,3,0,0,0,3,3,3,0,0,0,0,0,2,0,0
COMPLETE-SET-AND-BULK_mOTU_159,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,2,2,2,0,0,0,0,2,2,2,0,0
COMPLETE-SET-AND-BULK_mOTU_167,3,3,0,0,3,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,0,0,3,3,0,3,0,0,0,3,3,3,0,0,0,0,0,3,0,0
COMPLETE-SET-AND-BULK_mOTU_230,4,4,0,0,3,0,0,0,0,0,4,0,0,3,4,2,0,0,4,0,0,0,4,4,4,3,0,0,0,4,4,4,0,0,0,0,0,2,0,0
COMPLETE-SET-AND-BULK_mOTU_253,21,1,1,0,2,0,0,0,22,0,5,0,4,8,20,22,0,1,3,2,0,0,13,12,0,1,0,1,1,22,22,1,0,0,0,0,1,20,0,0
COMPLETE-SET-AND-BULK_mOTU_258,6,6,0,0,5,0,0,0,6,0,6,0,0,0,6,5,0,0,6,0,0,0,6,6,6,6,0,0,0,6,6,6,0,0,0,0,0,5,0,0
COMPLETE-SET-AND-BULK_mOTU_281,6,5,0,0,5,0,0,0,5,0,0,0,0,6,5,4,0,0,4,0,0,0,5,5,1,5,0,0,0,6,6,0,0,0,0,0,0,5,0,0
COMPLETE-SET-AND-BULK_mOTU_289,3,3,0,0,3,0,0,0,3,0,3,0,0,0,3,3,0,3,3,0,0,0,3,3,0,3,0,0,0,3,3,3,0,0,0,0,0,3,0,0
COMPLETE-SET-AND-BULK_mOTU_335,1,3,0,0,14,0,1,1,15,0,2,1,1,4,2,2,0,2,1,5,0,0,0,0,1,3,2,1,1,15,15,1,0,0,0,0,0,2,0,0
COMPLETE-SET-AND-BULK_mOTU_352,1,9,1,2,4,9,0,0,10,9,10,2,2,4,10,10,1,2,2,1,1,1,0,1,2,3,0,1,9,5,5,10,0,0,0,0,1,10,0,0
COMPLETE-SET-AND-BULK_mOTU_364,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,12,12,0,0,0,0,0,8,0,0,0
COMPLETE-SET-AND-BULK_mOTU_378,1,0,0,0,0,0,0,0,6,0,4,0,3,0,6,6,0,0,0,2,0,0,1,1,1,0,0,0,1,6,5,4,0,0,0,0,0,6,0,0
COMPLETE-SET-AND-BULK_mOTU_379,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
COMPLETE-SET-AND-BULK_mOTU_381,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,6,0,0,0
COMPLETE-SET-AND-BULK_mOTU_392,0,4,4,4,4,4,0,0,4,0,4,0,0,4,4,4,0,4,0,0,0,0,4,4,4,4,0,0,0,4,4,4,0,0,0,0,0,4,0,0
COMPLETE-SET-AND-BULK_mOTU_400,2,2,2,0,0,0,0,0,2,0,1,0,0,1,1,1,1,0,0,0,0,2,0,2,0,2,1,0,0,2,2,0,0,0,0,0,0,1,0,0
COMPLETE-SET-AND-BULK_mOTU_408,12,13,0,0,0,0,0,0,14,0,11,0,0,0,14,13,0,13,13,0,0,0,13,13,12,12,0,0,0,14,14,14,0,0,0,0,0,14,0,0
COMPLETE-SET-AND-BULK_mOTU_416,0,3,4,0,4,0,0,0,1,0,0,0,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,0,0
COMPLETE-SET-AND-BULK_mOTU_483,1,2,1,1,3,1,1,1,3,1,2,1,3,1,3,3,1,0,1,1,0,1,0,1,1,3,0,1,2,3,3,1,0,0,0,1,1,3,0,0
COMPLETE-SET-AND-BULK_mOTU_487,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
COMPLETE-SET-AND-BULK_mOTU_499,1,2,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,2,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0
COMPLETE-SET-AND-BULK_mOTU_511,8,8,0,0,7,0,0,0,0,0,8,0,0,0,8,7,0,0,7,0,0,0,0,7,8,7,0,0,0,8,8,7,0,0,0,0,0,0,0,0
COMPLETE-SET-AND-BULK_mOTU_519,4,5,0,0,5,0,0,0,5,0,5,0,0,5,5,5,0,0,5,0,0,0,4,4,5,4,0,0,0,5,5,5,0,0,0,0,0,5,0,0
COMPLETE-SET-AND-BULK_mOTU_603,0,22,23,0,1,0,0,0,1,0,1,0,4,1,22,0,0,0,0,1,0,0,0,0,15,0,0,0,1,22,22,20,0,0,0,0,0,22,0,0
COMPLETE-SET-AND-BULK_mOTU_606,0,5,0,0,1,0,0,0,1,0,5,0,1,2,5,2,0,1,4,0,0,0,1,1,2,0,1,0,2,4,2,1,0,0,0,0,0,1,0,0
COMPLETE-SET-AND-BULK_mOTU_611,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0
COMPLETE-SET-AND-BULK_mOTU_616,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,2,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0
COMPLETE-SET-AND-BULK_mOTU_642,9,11,0,0,8,0,0,0,0,0,9,0,10,0,8,8,0,0,9,0,0,0,9,9,0,11,1,0,8,10,10,10,0,0,0,0,0,8,0,0
COMPLETE-SET-AND-BULK_mOTU_645,2,2,0,0,3,0,0,0,0,0,2,0,0,0,2,3,0,0,1,0,0,0,0,1,2,3,0,0,0,3,2,3,0,0,0,0,0,0,0,0
COMPLETE-SET-AND-BULK_mOTU_710,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,5,0,3,0,1,0,0,5,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
COMPLETE-SET-AND-BULK_mOTU_712,0,2,2,2,2,2,0,0,2,2,2,0,0,0,2,0,0,0,0,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0
COMPLETE-SET-AND-BULK_mOTU_723,1,6,0,0,1,0,0,0,6,0,1,0,6,2,1,6,0,0,0,0,0,0,1,1,1,0,1,2,1,5,5,1,0,0,0,0,1,1,0,0
COMPLETE-SET-AND-BULK_mOTU_740,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0,0,2,2,0,0,0
COMPLETE-SET-AND-BULK_mOTU_742,2,2,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,1,1,0,2,0,0,0,2,2,2,0,0,0,0,0,1,0,0
COMPLETE-SET-AND-BULK_mOTU_758,2,13,1,0,1,1,1,0,12,1,7,1,8,14,14,14,1,1,2,1,1,1,1,1,1,2,1,1,1,14,14,3,0,0,0,0,10,14,0,0
COMPLETE-SET-AND-BULK_mOTU_788,1,3,1,0,1,0,0,0,3,0,1,0,1,1,3,3,1,0,0,1,0,0,1,1,0,1,0,0,0,3,3,3,0,0,0,0,0,3,0,0
COMPLETE-SET-AND-BULK_mOTU_804,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
COMPLETE-SET-AND-BULK_mOTU_824,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
COMPLETE-SET-AND-BULK_mOTU_829,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
COMPLETE-SET-AND-BULK_mOTU_840,5,6,1,1,5,2,2,1,5,3,2,4,5,5,6,5,2,3,1,5,1,0,4,4,4,6,0,1,4,6,6,4,0,0,0,0,0,6,0,0
COMPLETE-SET-AND-BULK_mOTU_877,8,8,0,0,0,0,0,0,8,0,8,0,0,1,8,7,0,0,7,0,0,0,7,7,1,7,0,0,0,8,0,8,0,0,0,0,0,7,0,0
COMPLETE-SET-AND-BULK_mOTU_908,1,3,0,0,2,0,0,0,2,0,1,0,0,1,1,1,0,0,1,0,0,0,2,2,1,1,0,0,0,2,2,2,0,0,0,0,0,1,0,0
