,M00173,M00376,M00375,M00374,M00377,M00579,M00620
COMPLETE-SET-AND-BULK_mOTU_043,0.17592592592592593,0.0,0.0,0.1346153846153846,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_057,0.17592592592592593,0.0,0.0,0.17307692307692307,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_074,0.3148148148148148,0.0,0.0,0.2692307692307692,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_099,0.2314814814814815,0.0,0.0,0.21153846153846154,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_121,0.3333333333333333,0.0,0.0,0.15384615384615385,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_126,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.10714285714285714
COMPLETE-SET-AND-BULK_mOTU_136,0.28703703703703703,0.0,0.0,0.21153846153846154,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_233,0.2777777777777778,0.0,0.0,0.15384615384615385,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_250,0.2314814814814815,0.0,0.0,0.21153846153846154,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_253,0.3703703703703704,0.0,0.0,0.23076923076923078,0.0,0.0,0.8214285714285714
COMPLETE-SET-AND-BULK_mOTU_319,0.16666666666666666,0.0,0.0,0.038461538461538464,0.0,0.0,0.39285714285714285
COMPLETE-SET-AND-BULK_mOTU_324,0.19444444444444445,0.0,0.0,0.17307692307692307,0.0,0.0,0.5
COMPLETE-SET-AND-BULK_mOTU_335,0.3055555555555556,0.0,0.0,0.1346153846153846,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_352,0.4444444444444444,0.0,0.0,0.2692307692307692,0.0,0.0,0.9285714285714286
COMPLETE-SET-AND-BULK_mOTU_364,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858
COMPLETE-SET-AND-BULK_mOTU_378,0.2592592592592593,0.0,0.0,0.19230769230769232,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_381,0.1111111111111111,0.0,0.0,0.07692307692307693,0.0,0.0,0.21428571428571427
COMPLETE-SET-AND-BULK_mOTU_402,0.2037037037037037,0.0,0.0,0.11538461538461539,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_416,0.1111111111111111,0.0,0.0,0.038461538461538464,0.0,0.0,0.25
COMPLETE-SET-AND-BULK_mOTU_426,0.1388888888888889,0.0,0.0,0.09615384615384616,0.0,0.0,0.39285714285714285
COMPLETE-SET-AND-BULK_mOTU_448,0.12037037037037036,0.0,0.0,0.1346153846153846,0.0,0.0,0.4642857142857143
COMPLETE-SET-AND-BULK_mOTU_452,0.12037037037037036,0.0,0.0,0.1346153846153846,0.0,0.0,0.4642857142857143
COMPLETE-SET-AND-BULK_mOTU_453,0.2592592592592593,0.0,0.0,0.15384615384615385,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_483,0.3888888888888889,0.0,0.0,0.23076923076923078,0.0,0.0,0.8571428571428571
COMPLETE-SET-AND-BULK_mOTU_487,0.17592592592592593,0.0,0.0,0.17307692307692307,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_499,0.17592592592592593,0.0,0.0,0.17307692307692307,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_519,0.17592592592592593,0.0,0.0,0.17307692307692307,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_627,0.25,0.0,0.0,0.09615384615384616,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_710,0.12037037037037036,0.0,0.0,0.1346153846153846,0.0,0.0,0.32142857142857145
COMPLETE-SET-AND-BULK_mOTU_723,0.28703703703703703,0.0,0.0,0.17307692307692307,0.0,0.0,0.7142857142857143
COMPLETE-SET-AND-BULK_mOTU_740,0.2222222222222222,0.0,0.0,0.11538461538461539,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_758,0.45370370370370366,0.0,0.0,0.28846153846153844,0.0,0.0,0.9642857142857143
COMPLETE-SET-AND-BULK_mOTU_788,0.2592592592592593,0.0,0.0,0.23076923076923078,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_795,0.16666666666666666,0.0,0.0,0.07692307692307693,0.0,0.0,0.5
COMPLETE-SET-AND-BULK_mOTU_798,0.25,0.0,0.0,0.1346153846153846,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_834,0.2037037037037037,0.0,0.0,0.11538461538461539,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_840,0.48148148148148145,0.0,0.0,0.3076923076923077,0.0,0.0,1.0
COMPLETE-SET-AND-BULK_mOTU_854,0.1388888888888889,0.0,0.0,0.1346153846153846,0.0,0.0,0.4642857142857143
COMPLETE-SET-AND-BULK_mOTU_866,0.2314814814814815,0.0,0.0,0.21153846153846154,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_867,0.14814814814814814,0.0,0.0,0.15384615384615385,0.0,0.0,0.5
COMPLETE-SET-AND-BULK_mOTU_876,0.2037037037037037,0.0,0.0,0.11538461538461539,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_908,0.17592592592592593,0.0,0.0,0.17307692307692307,0.0,0.0,0.5357142857142857
