mOTU,K00024,K00169,K00170,K00171,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01677,K01678,K01902,K01903,K14465,K14467,K14534,K15016,K15038,nb_bins,mean_bin_completion,highest_bin_completion
COMPLETE-SET-AND-BULK_mOTU_043,0.0,0.02,0.0,0.0,0.0,0.18,0.0,0.28,0.2,0.02,0.0,0.26,0.26,0.0,0.02,0.04,0.24,0.02,0.04,0.08,50,19.774655287323924,100.0
COMPLETE-SET-AND-BULK_mOTU_057,0.8571428571428571,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,7,78.26961770623743,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_074,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,2,90.14084507042253,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_099,0.7659574468085106,0.7872340425531915,0.0,0.0,0.0,0.7872340425531915,0.0,0.0,0.723404255319149,0.0425531914893617,0.0,0.7659574468085106,0.7659574468085106,0.0,0.0,0.5531914893617021,0.8085106382978723,0.0,0.8085106382978723,0.6595744680851063,47,80.43152532214567,100.0
COMPLETE-SET-AND-BULK_mOTU_121,0.75,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.0,0.5,0.25,4,75.0,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.375,0.0,8,42.605638802816905,100.0
COMPLETE-SET-AND-BULK_mOTU_136,0.9259259259259259,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629629,0.4444444444444444,0.0,0.037037037037037035,0.037037037037037035,0.0,0.8148148148148148,0.8888888888888888,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.0,27,71.46583202921231,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_233,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,2,96.47887323943662,100.0
COMPLETE-SET-AND-BULK_mOTU_250,0.07692307692307693,0.05128205128205128,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.07692307692307693,0.05128205128205128,0.0,0.10256410256410256,0.10256410256410256,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,0.10256410256410256,0.05128205128205128,39,6.211637721198991,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_253,0.23863636363636365,0.011363636363636364,0.0,0.022727272727272728,0.0,0.056818181818181816,0.0,0.045454545454545456,0.09090909090909091,0.022727272727272728,0.0,0.14772727272727273,0.13636363636363635,0.011363636363636364,0.011363636363636364,0.2159090909090909,0.2727272727272727,0.13636363636363635,0.23863636363636365,0.011363636363636364,88,20.6946297791293,100.0
