mOTU,K00024,K00169,K00170,K00171,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01677,K01678,K01902,K01903,K14465,K14467,K14534,K15016,K15038
COMPLETE-SET-AND-BULK_mOTU_043,0,1,0,0,0,9,0,14,10,1,0,13,13,0,1,2,12,1,2,4
COMPLETE-SET-AND-BULK_mOTU_057,6,0,0,7,0,7,0,0,7,0,0,6,6,0,0,7,6,0,6,6
COMPLETE-SET-AND-BULK_mOTU_074,1,2,2,2,2,0,0,0,1,2,0,1,1,0,0,1,1,0,1,1
COMPLETE-SET-AND-BULK_mOTU_099,36,37,0,0,0,37,0,0,34,2,0,36,36,0,0,26,38,0,38,31
COMPLETE-SET-AND-BULK_mOTU_121,3,2,0,4,0,4,0,0,0,4,0,0,0,4,4,4,3,0,2,1
COMPLETE-SET-AND-BULK_mOTU_126,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0
COMPLETE-SET-AND-BULK_mOTU_136,25,26,0,0,0,0,0,0,26,12,0,1,1,0,22,24,23,26,25,0
COMPLETE-SET-AND-BULK_mOTU_233,1,0,0,2,1,1,1,0,1,1,0,0,0,0,2,2,1,0,1,1
COMPLETE-SET-AND-BULK_mOTU_250,3,2,0,0,0,2,0,0,3,2,0,4,4,0,0,2,2,0,4,2
COMPLETE-SET-AND-BULK_mOTU_253,21,1,0,2,0,5,0,4,8,2,0,13,12,1,1,19,24,12,21,1
COMPLETE-SET-AND-BULK_mOTU_319,0,0,0,0,0,0,0,0,4,4,0,0,0,5,5,4,4,5,5,3
COMPLETE-SET-AND-BULK_mOTU_324,15,0,0,18,0,0,0,0,24,1,0,0,23,0,0,25,18,23,26,0
COMPLETE-SET-AND-BULK_mOTU_335,1,0,0,14,0,2,1,1,1,5,0,0,0,1,1,2,5,0,15,2
COMPLETE-SET-AND-BULK_mOTU_352,1,1,2,4,9,10,2,2,1,1,1,0,1,1,9,10,2,1,7,3
COMPLETE-SET-AND-BULK_mOTU_364,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,13,9
COMPLETE-SET-AND-BULK_mOTU_378,1,0,0,0,0,4,0,3,0,2,0,1,1,0,1,2,6,2,6,6
COMPLETE-SET-AND-BULK_mOTU_381,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,10
COMPLETE-SET-AND-BULK_mOTU_402,0,0,0,0,0,2,0,1,1,1,0,2,1,1,2,1,1,0,1,1
COMPLETE-SET-AND-BULK_mOTU_416,0,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0
COMPLETE-SET-AND-BULK_mOTU_426,0,0,0,18,0,0,1,0,9,1,0,0,13,0,8,2,0,0,6,1
COMPLETE-SET-AND-BULK_mOTU_448,0,2,0,0,0,2,0,0,2,2,0,2,2,0,0,2,2,0,2,2
COMPLETE-SET-AND-BULK_mOTU_452,0,5,0,0,0,5,0,0,4,1,0,5,5,0,0,4,5,0,5,4
COMPLETE-SET-AND-BULK_mOTU_453,0,0,2,2,0,2,0,0,2,1,0,2,2,1,2,2,2,2,2,2
COMPLETE-SET-AND-BULK_mOTU_483,1,1,1,3,1,2,1,3,1,1,0,0,1,1,2,2,1,0,3,2
COMPLETE-SET-AND-BULK_mOTU_487,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1
COMPLETE-SET-AND-BULK_mOTU_499,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,2,1,0,1,1
COMPLETE-SET-AND-BULK_mOTU_519,4,0,0,5,0,5,0,0,2,0,0,4,4,0,0,5,5,0,5,4
COMPLETE-SET-AND-BULK_mOTU_627,0,0,0,3,0,2,1,3,5,3,1,0,0,2,4,0,11,0,4,4
COMPLETE-SET-AND-BULK_mOTU_710,0,0,0,2,0,0,0,0,0,1,0,5,5,0,0,0,4,0,0,0
COMPLETE-SET-AND-BULK_mOTU_723,1,0,0,1,0,1,0,6,6,0,0,1,1,2,1,1,6,0,6,1
COMPLETE-SET-AND-BULK_mOTU_740,2,0,0,0,0,2,0,0,2,0,0,0,2,2,2,2,2,0,2,2
COMPLETE-SET-AND-BULK_mOTU_758,2,1,0,1,1,7,1,8,14,1,1,1,1,1,1,2,5,1,14,6
COMPLETE-SET-AND-BULK_mOTU_788,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,3,3,0,3,3
COMPLETE-SET-AND-BULK_mOTU_795,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1
COMPLETE-SET-AND-BULK_mOTU_798,6,7,0,0,0,0,0,1,7,6,0,0,0,0,7,7,8,7,7,0
COMPLETE-SET-AND-BULK_mOTU_834,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
COMPLETE-SET-AND-BULK_mOTU_840,5,1,1,5,2,2,4,5,2,5,1,4,4,1,4,5,6,1,5,5
COMPLETE-SET-AND-BULK_mOTU_854,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1
COMPLETE-SET-AND-BULK_mOTU_866,2,2,2,0,2,2,0,2,2,0,0,2,2,0,0,2,2,0,2,1
COMPLETE-SET-AND-BULK_mOTU_867,0,2,0,2,0,2,0,0,2,2,0,2,2,0,0,2,2,0,2,2
COMPLETE-SET-AND-BULK_mOTU_876,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1
COMPLETE-SET-AND-BULK_mOTU_908,1,0,0,2,0,1,0,0,1,0,0,2,2,0,0,1,1,0,2,2
