mOTU,K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15018,K15019,K15020,K15036,K15037,K15038,K15039
COMPLETE-SET-AND-BULK_mOTU_024,0,1,1,1,1,1,0,1,13,0,17,2,1,1,0,1
COMPLETE-SET-AND-BULK_mOTU_025,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0
COMPLETE-SET-AND-BULK_mOTU_033,5,5,5,5,5,4,0,0,5,0,5,0,4,0,5,5
COMPLETE-SET-AND-BULK_mOTU_038,20,0,0,0,20,19,0,0,20,0,25,18,0,19,21,19
COMPLETE-SET-AND-BULK_mOTU_043,10,1,1,3,1,2,1,1,2,0,1,5,1,3,4,1
COMPLETE-SET-AND-BULK_mOTU_088,9,0,0,0,14,12,0,0,9,0,16,9,0,9,8,9
COMPLETE-SET-AND-BULK_mOTU_089,3,3,3,0,4,3,3,4,4,0,5,5,2,0,3,3
COMPLETE-SET-AND-BULK_mOTU_097,2,1,1,0,2,2,2,0,2,0,3,2,2,0,0,0
COMPLETE-SET-AND-BULK_mOTU_098,3,2,1,0,3,2,1,2,4,0,8,2,1,0,4,0
COMPLETE-SET-AND-BULK_mOTU_099,34,2,1,0,40,26,0,0,38,0,40,4,0,0,31,32
COMPLETE-SET-AND-BULK_mOTU_126,2,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0
COMPLETE-SET-AND-BULK_mOTU_136,26,0,19,0,22,24,0,26,25,0,27,27,13,0,0,3
COMPLETE-SET-AND-BULK_mOTU_146,22,0,22,0,22,24,22,2,22,0,25,25,0,0,16,0
COMPLETE-SET-AND-BULK_mOTU_154,8,9,9,0,8,9,9,0,9,0,9,9,8,0,9,0
COMPLETE-SET-AND-BULK_mOTU_163,5,0,5,0,6,5,5,6,0,0,6,6,6,5,5,0
COMPLETE-SET-AND-BULK_mOTU_172,13,12,12,0,13,12,0,11,13,0,13,13,9,0,13,0
COMPLETE-SET-AND-BULK_mOTU_174,0,3,3,0,2,3,3,0,3,0,3,3,3,0,3,3
COMPLETE-SET-AND-BULK_mOTU_179,3,28,28,0,4,29,0,0,28,0,29,29,29,0,29,26
COMPLETE-SET-AND-BULK_mOTU_226,2,0,0,0,3,3,2,3,2,0,3,3,2,0,0,0
COMPLETE-SET-AND-BULK_mOTU_233,1,1,1,1,2,2,1,0,1,0,2,2,2,0,1,0
COMPLETE-SET-AND-BULK_mOTU_244,11,11,11,0,16,13,0,0,13,0,15,13,0,0,1,12
COMPLETE-SET-AND-BULK_mOTU_253,8,22,22,18,22,19,21,12,21,0,22,10,22,1,1,21
COMPLETE-SET-AND-BULK_mOTU_261,7,7,0,0,9,9,7,6,0,0,9,9,6,0,8,0
COMPLETE-SET-AND-BULK_mOTU_265,3,6,6,4,17,20,6,16,20,0,21,20,6,0,1,4
COMPLETE-SET-AND-BULK_mOTU_278,0,8,8,0,9,9,0,9,9,0,9,9,9,0,9,0
COMPLETE-SET-AND-BULK_mOTU_292,19,0,19,0,20,19,0,20,19,0,20,19,19,0,18,0
COMPLETE-SET-AND-BULK_mOTU_293,2,0,0,0,1,2,0,2,2,0,2,2,2,0,2,0
COMPLETE-SET-AND-BULK_mOTU_319,4,4,4,0,5,4,0,5,5,0,5,5,3,0,3,4
COMPLETE-SET-AND-BULK_mOTU_324,24,24,26,0,26,25,0,23,26,0,26,26,17,0,0,0
COMPLETE-SET-AND-BULK_mOTU_328,2,2,2,0,5,3,0,0,3,0,5,4,4,0,2,0
COMPLETE-SET-AND-BULK_mOTU_335,1,17,1,13,12,2,0,0,15,0,17,17,2,1,2,0
COMPLETE-SET-AND-BULK_mOTU_345,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0
COMPLETE-SET-AND-BULK_mOTU_352,1,2,2,1,9,10,0,1,7,0,8,10,10,1,3,1
COMPLETE-SET-AND-BULK_mOTU_360,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_364,9,0,0,0,9,9,0,0,13,0,13,9,9,0,9,0
COMPLETE-SET-AND-BULK_mOTU_368,17,18,0,0,26,25,25,26,0,0,26,25,16,0,20,0
COMPLETE-SET-AND-BULK_mOTU_369,2,3,3,0,3,3,0,0,3,0,3,3,2,0,3,3
COMPLETE-SET-AND-BULK_mOTU_375,2,0,0,2,2,2,2,0,2,0,2,2,2,0,2,0
COMPLETE-SET-AND-BULK_mOTU_378,0,5,5,1,4,2,0,2,6,0,6,4,5,6,6,0
COMPLETE-SET-AND-BULK_mOTU_380,1,1,1,0,3,3,3,0,3,0,3,3,3,0,3,0
COMPLETE-SET-AND-BULK_mOTU_381,0,0,0,0,0,0,0,0,9,0,10,2,0,1,10,0
COMPLETE-SET-AND-BULK_mOTU_390,1,1,1,0,1,1,0,0,1,0,2,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_397,2,6,6,0,4,17,0,1,20,0,21,15,16,0,8,19
COMPLETE-SET-AND-BULK_mOTU_402,1,2,2,0,2,1,0,0,1,0,2,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_407,2,2,2,0,2,2,0,0,2,0,2,2,2,0,2,0
COMPLETE-SET-AND-BULK_mOTU_414,5,0,5,0,5,5,0,0,5,0,5,3,0,0,5,4
COMPLETE-SET-AND-BULK_mOTU_416,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
COMPLETE-SET-AND-BULK_mOTU_419,2,2,2,0,2,2,0,0,2,0,2,2,2,0,2,0
COMPLETE-SET-AND-BULK_mOTU_422,2,1,2,0,2,2,0,2,2,0,2,2,1,0,2,0
COMPLETE-SET-AND-BULK_mOTU_426,9,20,18,0,17,2,0,0,6,0,21,11,2,0,1,6
COMPLETE-SET-AND-BULK_mOTU_448,2,2,2,2,2,2,0,0,2,0,2,2,0,2,2,0
COMPLETE-SET-AND-BULK_mOTU_453,2,2,2,2,2,2,0,2,2,0,2,2,1,0,2,0
COMPLETE-SET-AND-BULK_mOTU_469,3,0,0,0,5,3,0,4,5,0,5,5,0,0,5,4
COMPLETE-SET-AND-BULK_mOTU_475,22,0,23,0,2,19,0,4,11,0,24,19,22,0,2,6
COMPLETE-SET-AND-BULK_mOTU_483,1,1,1,1,1,2,0,0,3,0,3,1,1,1,2,1
COMPLETE-SET-AND-BULK_mOTU_508,1,7,8,0,4,8,0,0,8,0,11,7,6,0,6,1
COMPLETE-SET-AND-BULK_mOTU_512,10,7,10,0,12,9,0,9,9,0,12,10,8,0,0,0
COMPLETE-SET-AND-BULK_mOTU_535,2,4,4,0,4,3,0,0,4,0,4,3,1,0,2,0
COMPLETE-SET-AND-BULK_mOTU_538,3,2,2,0,3,3,0,3,2,0,3,3,1,0,3,3
COMPLETE-SET-AND-BULK_mOTU_542,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_551,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_556,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1
COMPLETE-SET-AND-BULK_mOTU_606,0,0,1,4,2,0,0,0,1,0,2,5,0,4,1,0
COMPLETE-SET-AND-BULK_mOTU_610,2,2,2,0,2,2,0,0,1,0,2,2,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_624,2,2,2,0,2,2,2,0,2,0,2,2,2,0,2,0
COMPLETE-SET-AND-BULK_mOTU_627,5,1,1,0,2,0,0,0,4,0,4,2,0,0,4,2
