mOTU,K00239,K00240,K00241,K01679,K01847,K01848,K01849,K01961,K01962,K01963,K02160,K05606,K14468,K14471,K14472,K15052,M00376,mOTUpan_completeness,nb_bins,mean_bin_completion,highest_bin_completion
COMPLETE-SET-AND-BULK_mOTU_016,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.416666666666667,0.0,0.0,4.916666666666667,0.5,0.0,0.0,0.0,0.5,0.17500000000000002,49.63201344243132,12,78.75586854460094,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_043,0.2,0.0,0.02,0.06,0.16,0.34,0.36,0.9,0.0,0.02,0.5,1.56,0.0,0.28,0.28,0.02,0.0098,1.9980000000000002,50,19.774655287323924,100.0
COMPLETE-SET-AND-BULK_mOTU_081,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.2,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.021333333333333333,6.550264550264549,15,63.661971830985905,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_115,0.0,0.0,0.0,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.09090909090909091,0.028181818181818183,8.387409788343746,11,74.64788823303456,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_117,0.0,0.0,0.0,0.8571428571428571,1.2857142857142858,0.0,0.0,1.2857142857142858,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.14142857142857143,42.469413919413924,14,87.59398496240601,94.73684210526316
COMPLETE-SET-AND-BULK_mOTU_253,0.056818181818181816,0.0,0.06818181818181818,0.0,0.20454545454545456,0.23863636363636365,0.23863636363636365,0.5909090909090909,0.011363636363636364,0.0,0.4431818181818182,0.5454545454545454,0.0,0.07954545454545454,0.07954545454545454,0.09090909090909091,0.015454545454545453,4.352346999405823,88,20.6946297791293,100.0
COMPLETE-SET-AND-BULK_mOTU_304,0.0,0.0,0.0,0.0,2.3333333333333335,1.5555555555555556,0.0,0.7777777777777778,1.5555555555555556,1.5555555555555556,5.444444444444445,45.72222222222222,0.0,0.0,0.0,0.7777777777777778,0.2411111111111111,75.7284101174345,18,76.13458640062596,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_335,0.7692307692307693,0.23076923076923078,0.3333333333333333,0.1794871794871795,0.2564102564102564,0.20512820512820512,0.1282051282051282,0.5384615384615384,0.05128205128205128,0.1282051282051282,0.1282051282051282,0.7948717948717948,0.0,0.0,0.0,0.2564102564102564,0.011794871794871795,2.5615384615384618,39,34.23619147706752,100.0
COMPLETE-SET-AND-BULK_mOTU_475,0.06521739130434782,0.0,0.06521739130434782,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.021739130434782608,0.15217391304347827,0.0,0.0,0.0,0.021739130434782608,0.006956521739130435,1.9606417527022444,46,32.48622667789343,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_519,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,2.3333333333333335,0.8333333333333334,0.0,0.0,0.0,0.3333333333333333,0.11,24.975833333333338,12,55.516433591549294,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_606,0.68,0.0,0.6,0.08,0.0,0.0,0.04,0.88,0.0,0.04,0.96,0.16,0.0,0.0,0.0,0.0,0.012,0.51004851004851,25,22.535218467605624,100.0
COMPLETE-SET-AND-BULK_mOTU_627,0.06,0.06,0.3,0.06,0.0,0.0,0.0,0.38,0.04,0.26,0.04,0.02,0.0,0.0,0.0,0.0,0.0062,1.8897849462365592,50,33.21127380563379,100.0
COMPLETE-SET-AND-BULK_mOTU_658,0.08823529411764706,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.20588235294117646,0.0,0.0,0.08823529411764706,0.23529411764705882,0.0,0.058823529411764705,0.058823529411764705,0.0,0.01088235294117647,2.73675860385648,34,48.50869954846728,78.8732394366197
COMPLETE-SET-AND-BULK_mOTU_758,3.76,0.84,4.36,1.36,1.24,1.04,0.32,5.04,0.52,1.44,2.68,5.04,0.0,0.0,0.0,0.96,0.0184,3.9960000000000004,25,50.87324383661971,100.0
COMPLETE-SET-AND-BULK_mOTU_770,0.16216216216216217,0.0,0.0,0.10810810810810811,0.0,0.10810810810810811,0.13513513513513514,0.1891891891891892,0.0,0.0,0.16216216216216217,1.1891891891891893,0.0,0.16216216216216217,0.16216216216216217,0.0,0.01945945945945946,5.036268360050595,37,25.732780974495608,100.0
COMPLETE-SET-AND-BULK_mOTU_815,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,0.21428571428571427,0.2857142857142857,1.5,0.07142857142857142,0.0,0.8571428571428571,0.35714285714285715,0.0,0.0,0.0,0.21428571428571427,0.02214285714285714,7.135714285714286,14,13.581497505030184,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_835,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.07692307692307693,0.023076923076923075,7.656362329259526,13,35.42795540628385,71.83098591549296
