mOTU,K00024,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K01677,K01678,K01902,K01903,K01959,K01960,K18209,K18210,nb_bins,mean_bin_completion,highest_bin_completion
COMPLETE-SET-AND-BULK_mOTU_043,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.26,0.26,0.0,0.02,0.24,0.04,0.26,0.02,50,19.774655287323924,100.0
COMPLETE-SET-AND-BULK_mOTU_121,0.75,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,0.75,1.0,0.75,4,75.0,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,8,42.605638802816905,100.0
COMPLETE-SET-AND-BULK_mOTU_233,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,2,96.47887323943662,100.0
COMPLETE-SET-AND-BULK_mOTU_253,0.23863636363636365,0.011363636363636364,0.0,0.022727272727272728,0.0,0.0,0.0,0.25,0.0,0.14772727272727273,0.13636363636363635,0.011363636363636364,0.011363636363636364,0.25,0.011363636363636364,0.22727272727272727,0.03409090909090909,88,20.6946297791293,100.0
COMPLETE-SET-AND-BULK_mOTU_335,0.02564102564102564,0.0,0.0,0.358974358974359,0.0,0.02564102564102564,0.02564102564102564,0.38461538461538464,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.38461538461538464,0.02564102564102564,0.05128205128205128,0.20512820512820512,39,34.23619147706752,100.0
COMPLETE-SET-AND-BULK_mOTU_352,0.1,0.1,0.2,0.4,0.9,0.0,0.0,1.0,0.9,0.0,0.1,0.1,0.9,0.5,1.0,1.0,0.8,10,90.28169014084506,100.0
COMPLETE-SET-AND-BULK_mOTU_364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.0,0.0,17,55.840932038111006,100.0
COMPLETE-SET-AND-BULK_mOTU_378,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.125,0.125,0.0,0.125,0.625,0.5,0.75,0.0,8,81.86619843309859,100.0
COMPLETE-SET-AND-BULK_mOTU_381,0.14473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,76,13.472951210155651,100.0
COMPLETE-SET-AND-BULK_mOTU_416,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,0.04,25,15.774655887323922,100.0
COMPLETE-SET-AND-BULK_mOTU_426,0.0,0.0,0.0,0.10227272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.07386363636363637,0.0,0.045454545454545456,0.0,0.0,0.0,0.011363636363636364,176,10.443350505761822,100.0
COMPLETE-SET-AND-BULK_mOTU_445,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,2,88.73239436619718,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_453,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,2,72.53521126760563,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_483,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0.75,0.25,0.0,0.25,0.25,0.5,0.75,0.25,0.75,0.25,4,40.14085007042254,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,2,64.78873239436618,80.28169014084506
COMPLETE-SET-AND-BULK_mOTU_642,0.5294117647058824,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.5294117647058824,0.0,0.47058823529411764,0.5882352941176471,0.5882352941176471,0.5294117647058824,0.0,17,78.7903893951947,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_710,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,6,72.53521293427228,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_723,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,7,75.85513221327967,100.0
COMPLETE-SET-AND-BULK_mOTU_758,0.08,0.04,0.0,0.04,0.04,0.04,0.0,0.48,0.04,0.04,0.04,0.04,0.04,0.56,0.12,0.56,0.04,25,50.87324383661971,100.0
COMPLETE-SET-AND-BULK_mOTU_788,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,3,93.89671361502347,100.0
COMPLETE-SET-AND-BULK_mOTU_840,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,6,80.51643359154929,100.0
COMPLETE-SET-AND-BULK_mOTU_895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,94.3661971830986,94.3661971830986
