,mOTU
NoMOTU,43114
COMPLETE-SET-AND-BULK_mOTU_285,237
COMPLETE-SET-AND-BULK_mOTU_426,176
COMPLETE-SET-AND-BULK_mOTU_024,155
COMPLETE-SET-AND-BULK_mOTU_356,150
COMPLETE-SET-AND-BULK_mOTU_125,138
COMPLETE-SET-AND-BULK_mOTU_146,130
COMPLETE-SET-AND-BULK_mOTU_357,125
COMPLETE-SET-AND-BULK_mOTU_359,118
COMPLETE-SET-AND-BULK_mOTU_045,114
COMPLETE-SET-AND-BULK_mOTU_130,110
COMPLETE-SET-AND-BULK_mOTU_397,110
COMPLETE-SET-AND-BULK_mOTU_155,107
COMPLETE-SET-AND-BULK_mOTU_609,106
COMPLETE-SET-AND-BULK_mOTU_697,99
COMPLETE-SET-AND-BULK_mOTU_180,92
COMPLETE-SET-AND-BULK_mOTU_175,88
COMPLETE-SET-AND-BULK_mOTU_253,88
COMPLETE-SET-AND-BULK_mOTU_236,82
COMPLETE-SET-AND-BULK_mOTU_377,79
COMPLETE-SET-AND-BULK_mOTU_039,78
COMPLETE-SET-AND-BULK_mOTU_325,78
COMPLETE-SET-AND-BULK_mOTU_791,77
COMPLETE-SET-AND-BULK_mOTU_425,76
COMPLETE-SET-AND-BULK_mOTU_381,76
COMPLETE-SET-AND-BULK_mOTU_038,74
COMPLETE-SET-AND-BULK_mOTU_219,73
COMPLETE-SET-AND-BULK_mOTU_003,70
COMPLETE-SET-AND-BULK_mOTU_739,69
COMPLETE-SET-AND-BULK_mOTU_026,67
COMPLETE-SET-AND-BULK_mOTU_589,61
COMPLETE-SET-AND-BULK_mOTU_670,61
COMPLETE-SET-AND-BULK_mOTU_007,60
COMPLETE-SET-AND-BULK_mOTU_461,56
COMPLETE-SET-AND-BULK_mOTU_787,56
COMPLETE-SET-AND-BULK_mOTU_011,54
COMPLETE-SET-AND-BULK_mOTU_021,51
COMPLETE-SET-AND-BULK_mOTU_005,51
COMPLETE-SET-AND-BULK_mOTU_627,50
COMPLETE-SET-AND-BULK_mOTU_034,50
COMPLETE-SET-AND-BULK_mOTU_512,50
COMPLETE-SET-AND-BULK_mOTU_043,50
COMPLETE-SET-AND-BULK_mOTU_096,50
COMPLETE-SET-AND-BULK_mOTU_520,49
