members,K00626,K01848,K01849,K05606,K14534,K15016,K15019,K15020,M00375
ERR2206752.10,2,0,0,0,0,0,0,0,0.07142857142857142
ERR2206752.13,0,0,2,0,0,0,0,0,0.03571428571428571
ERR2206752.16,2,0,0,0,0,0,0,0,0.07142857142857142
ERR2206752.2,0,0,0,0,0,2,0,0,0.07142857142857142
ERR2206752.23,2,0,0,0,0,0,0,0,0.07142857142857142
ERR2206752.3,0,0,2,0,0,0,0,0,0.03571428571428571
ERR2206752.6,2,0,0,0,0,0,0,0,0.07142857142857142
ERR2206752.7,2,0,0,0,0,0,0,0,0.07142857142857142
ERR2206752.9,4,0,0,0,0,0,0,0,0.07142857142857142
ERR3589553.24,2,0,0,4,0,0,0,0,0.14285714285714285
ERR3589553.26,4,0,0,0,0,0,0,0,0.07142857142857142
ERR3589553.31,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589553.41,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589553.45,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589553.70,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589554.24,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589554.27,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589554.37,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589554.41,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589554.6,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589555.28,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589556.2,7,0,0,0,0,0,0,0,0.07142857142857142
ERR3589556.63,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589556.66,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589556.68,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589557.1,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589557.15,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589557.20,2,0,0,0,2,0,0,0,0.14285714285714285
ERR3589557.34,7,0,0,0,0,0,0,0,0.07142857142857142
ERR3589557.35,0,0,0,0,0,0,0,7,0.07142857142857142
ERR3589557.72,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589557.76,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589557.77,7,0,0,0,0,0,0,0,0.07142857142857142
ERR3589557.84,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589557.90,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589558.13,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589558.14,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589558.18,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589558.42,8,0,0,0,0,0,0,0,0.07142857142857142
ERR3589558.63,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589558.81,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589559.1,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589559.100,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589559.102,2,0,0,2,0,0,0,0,0.14285714285714285
ERR3589559.17,7,0,0,0,0,0,0,0,0.07142857142857142
ERR3589559.35,8,0,0,0,0,0,0,0,0.07142857142857142
ERR3589559.42,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589559.52,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589559.87,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589560.29,0,2,0,0,0,0,0,0,0.03571428571428571
ERR3589561.2,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589561.30,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589561.36,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589561.48,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589561.89,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589562.12,7,0,0,0,0,0,0,0,0.07142857142857142
ERR3589562.13,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589562.15,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589563.18,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589563.32,2,0,0,2,2,0,0,0,0.21428571428571427
ERR3589563.35,0,0,2,0,0,0,0,0,0.03571428571428571
ERR3589563.4,14,0,0,0,0,0,0,0,0.07142857142857142
ERR3589563.55,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589563.92,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589565.24,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589565.36,2,0,0,2,0,0,0,0,0.14285714285714285
ERR3589566.16,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589566.2,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589566.27,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589566.36,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589566.38,7,0,0,0,0,0,0,0,0.07142857142857142
ERR3589566.52,2,0,0,2,0,0,0,0,0.14285714285714285
ERR3589566.55,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589567.1,0,2,0,0,0,0,0,0,0.03571428571428571
ERR3589567.12,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589567.19,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589567.29,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589567.35,0,2,0,0,0,0,0,0,0.03571428571428571
ERR3589567.56,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589567.72,7,0,0,0,0,0,0,0,0.07142857142857142
ERR3589569.24,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589569.4,0,0,0,0,2,0,0,0,0.07142857142857142
ERR3589570.42,7,0,0,0,0,0,0,0,0.07142857142857142
ERR3589570.86,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589570.89,0,2,0,0,0,0,0,0,0.03571428571428571
ERR3589570.93,4,0,0,0,0,0,0,0,0.07142857142857142
ERR3589571.18,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589571.31,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589571.33,2,0,0,4,0,0,0,0,0.14285714285714285
ERR3589571.42,0,0,0,0,2,0,0,0,0.07142857142857142
ERR3589571.6,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589571.62,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589571.65,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589572.10,2,0,0,2,0,0,0,0,0.14285714285714285
ERR3589572.17,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589572.19,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589572.43,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589572.8,0,0,0,0,2,0,0,0,0.07142857142857142
ERR3589573.11,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589573.24,0,0,0,2,7,0,0,0,0.14285714285714285
ERR3589573.58,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589573.59,2,0,0,2,0,0,0,0,0.14285714285714285
ERR3589573.61,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589574.12,0,0,2,0,0,0,0,0,0.03571428571428571
ERR3589574.14,2,0,0,2,0,0,0,0,0.14285714285714285
ERR3589574.41,2,0,0,2,0,0,0,0,0.14285714285714285
ERR3589574.59,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589574.70,0,0,2,2,0,0,0,0,0.10714285714285714
ERR3589575.16,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589577.18,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589577.4,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589578.41,2,0,0,2,0,0,0,0,0.14285714285714285
ERR3589578.48,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589578.5,0,2,2,0,0,0,0,0,0.07142857142857142
ERR3589578.70,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589578.74,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589578.83,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589578.98,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589579.35,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589579.40,0,0,0,0,2,0,0,0,0.07142857142857142
ERR3589579.51,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589579.58,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589580.24,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589580.37,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589580.50,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589580.54,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589580.56,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589581.14,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589581.21,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589581.57,2,0,0,2,0,0,0,0,0.14285714285714285
ERR3589581.58,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589581.65,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589581.68,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589585.14,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589585.19,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589585.30,4,0,0,0,0,0,0,0,0.07142857142857142
ERR3589585.45,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589585.77,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589586.17,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589586.27,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589587.43,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589588.24,2,0,0,0,0,0,0,0,0.07142857142857142
ERR3589588.27,4,0,0,2,0,0,0,0,0.14285714285714285
ERR3589590.3,0,0,0,2,0,0,0,0,0.07142857142857142
ERR3589590.4,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4691603.4,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691614.24,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691614.35,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4691614.53,4,0,0,2,0,0,0,0,0.14285714285714285
ERR4691614.64,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691615.12,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691615.3,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691615.35,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691622.10,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4691622.20,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691622.33,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4691622.38,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691627.12,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691627.16,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4691627.39,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4691646.1,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691668.16,7,0,0,0,0,0,0,0,0.07142857142857142
ERR4691668.24,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691668.3,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691668.54,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4691668.72,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691681.24,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4691681.45,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4691694.32,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691694.37,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691694.41,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691694.44,7,0,0,0,0,0,0,0,0.07142857142857142
ERR4691694.61,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4691694.66,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691694.70,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4691695.15,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691695.20,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691695.54,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4691695.65,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4918854.16,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918854.38,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918854.57,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918854.58,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918854.59,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918855.18,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918855.42,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918855.7,2,0,0,4,0,0,0,0,0.14285714285714285
ERR4918855.72,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918855.88,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918855.91,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918856.20,0,0,2,0,0,0,0,0,0.03571428571428571
ERR4918856.24,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918856.26,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918856.44,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918856.67,2,2,0,2,0,0,0,0,0.17857142857142858
ERR4918857.14,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4918857.28,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918857.43,7,0,0,0,0,0,0,0,0.07142857142857142
ERR4918857.49,7,0,0,0,0,0,0,0,0.07142857142857142
ERR4918857.77,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918858.102,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4918858.112,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4918858.21,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918858.37,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918858.8,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918858.94,7,0,0,2,0,0,0,0,0.14285714285714285
ERR4918860.13,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918860.15,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918860.24,0,2,0,0,0,0,0,0,0.03571428571428571
ERR4918860.28,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918860.58,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918860.59,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4918860.66,4,0,0,0,0,0,0,0,0.07142857142857142
ERR4918860.74,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918861.12,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918861.53,2,2,0,2,0,0,0,0,0.17857142857142858
ERR4918861.59,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918862.23,2,0,0,4,0,0,0,0,0.14285714285714285
ERR4918862.66,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918862.67,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918863.15,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918863.46,2,0,0,2,0,0,0,0,0.14285714285714285
ERR4918863.54,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918863.61,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918863.84,2,0,0,0,0,0,0,0,0.07142857142857142
ERR4918864.101,0,0,2,0,0,0,0,0,0.03571428571428571
ERR4918864.26,11,0,0,0,0,0,0,0,0.07142857142857142
ERR4918864.40,0,2,0,2,0,0,0,0,0.10714285714285714
ERR4918864.43,7,0,0,0,0,0,0,0,0.07142857142857142
ERR4918864.67,0,0,0,2,0,0,0,0,0.07142857142857142
ERR4918864.78,2,0,0,0,0,0,0,0,0.07142857142857142
ERR5001722.13,2,0,0,0,0,0,0,0,0.07142857142857142
