,bin_names,K00024,K00169,K00170,K00171,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01677,K01678,K01902,K01903,K14465,K14467,K14534,K15016,K15038,mOTU,gtdbtk_classif_r207,percent_completion
0,bulkbins-ODEN-2013-BINNING-medium-COASS_bin-4503,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_253,,1e-05
1,bulkbins-MOSAIC-MIME-BINNING-2503_bin-034,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,100.0
2,SRR9019638.7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_324,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA9040;s__UBA9040 sp905182565,95.77464788732394
3,ERR5006264.19,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,94.3661971830986
4,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,84.50704225352112
5,bulkbins-MOSAIC-MIME-BINNING-1603_bin-034,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,59.15492957746479
6,bulkbins-ODEN-2013-BINNING-medium-3_bin-742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_253,,1e-05
7,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-235,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,COMPLETE-SET-AND-BULK_mOTU_758,,100.0
8,bulkbins-MOSAIC-MIME-BINNING-3003_bin-57,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_126,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__,97.1830985915493
9,SRR13153459.28,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,97.1830985915493
