mOTU,K00024,K00169,K00170,K00171,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01677,K01678,K01902,K01903,K14465,K14467,K14534,K15016,K15038,M00374
COMPLETE-SET-AND-BULK_mOTU_043,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0.1346153846153846
COMPLETE-SET-AND-BULK_mOTU_057,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0.17307692307692307
COMPLETE-SET-AND-BULK_mOTU_074,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0.2692307692307692
COMPLETE-SET-AND-BULK_mOTU_099,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0.21153846153846154
COMPLETE-SET-AND-BULK_mOTU_121,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0.15384615384615385
COMPLETE-SET-AND-BULK_mOTU_126,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_136,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0.21153846153846154
COMPLETE-SET-AND-BULK_mOTU_233,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0.15384615384615385
COMPLETE-SET-AND-BULK_mOTU_250,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0.21153846153846154
COMPLETE-SET-AND-BULK_mOTU_253,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.23076923076923078
COMPLETE-SET-AND-BULK_mOTU_319,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0.038461538461538464
COMPLETE-SET-AND-BULK_mOTU_324,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0.17307692307692307
COMPLETE-SET-AND-BULK_mOTU_335,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0.1346153846153846
COMPLETE-SET-AND-BULK_mOTU_352,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.2692307692307692
COMPLETE-SET-AND-BULK_mOTU_364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_378,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0.19230769230769232
COMPLETE-SET-AND-BULK_mOTU_381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.07692307692307693
COMPLETE-SET-AND-BULK_mOTU_402,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0.11538461538461539
