members,K00024,K00169,K00170,K00172,K00174,K00175,K00176,K00177,K01677,K01678,K01902,K01903,K01959,K01960,M00620
ERR2206752.10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR2206752.13,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0.07142857142857142
ERR2206752.23,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR2206752.6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR2206752.7,0,0,0,0,2,2,0,0,0,0,3,3,0,0,0.21428571428571427
ERR2206752.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.07142857142857142
ERR3589553.70,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589554.12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589554.27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589554.37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589554.46,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589554.6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589554.63,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0.21428571428571427
ERR3589555.28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589555.34,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589555.42,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589555.45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589555.46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589555.48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589555.56,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.14285714285714285
ERR3589556.32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589556.34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589556.53,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589556.66,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589557.17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589557.26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589557.34,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0.21428571428571427
ERR3589557.89,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589557.95,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589558.13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589558.2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589558.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589558.37,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589558.55,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589558.80,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.14285714285714285
ERR3589558.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589559.10,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0.10714285714285714
ERR3589559.14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589559.27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589559.31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589559.34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589559.6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589559.60,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.14285714285714285
ERR3589559.70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589559.74,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0.21428571428571427
ERR3589560.20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589560.33,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589561.2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589561.30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589561.36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589561.62,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589561.71,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589561.89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589562.8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589563.10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589563.17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR3589563.35,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.03571428571428571
ERR3589563.38,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589563.54,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589563.92,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589565.28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589565.3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589566.16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589566.31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589566.36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589566.37,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589566.75,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589567.12,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0.2857142857142857
ERR3589567.19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589567.20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR3589567.27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589567.3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589567.39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589567.4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
