mOTU,K00024,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K01677,K01678,K01902,K01903,K01959,K01960,K18209,K18210
COMPLETE-SET-AND-BULK_mOTU_043,0,1,0,0,0,1,0,3,0,13,13,0,1,12,2,13,1
COMPLETE-SET-AND-BULK_mOTU_121,3,2,0,4,0,0,0,4,0,0,0,4,4,1,3,4,3
COMPLETE-SET-AND-BULK_mOTU_126,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
COMPLETE-SET-AND-BULK_mOTU_233,1,0,0,2,1,0,0,2,2,0,0,0,2,1,2,2,1
COMPLETE-SET-AND-BULK_mOTU_253,21,1,0,2,0,0,0,22,0,13,12,1,1,22,1,20,3
COMPLETE-SET-AND-BULK_mOTU_335,1,0,0,14,0,1,1,15,0,0,0,1,1,15,1,2,8
COMPLETE-SET-AND-BULK_mOTU_352,1,1,2,4,9,0,0,10,9,0,1,1,9,5,10,10,8
COMPLETE-SET-AND-BULK_mOTU_364,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0
COMPLETE-SET-AND-BULK_mOTU_378,1,0,0,0,0,0,0,6,0,1,1,0,1,5,4,6,0
COMPLETE-SET-AND-BULK_mOTU_381,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
COMPLETE-SET-AND-BULK_mOTU_416,0,4,0,4,0,0,0,1,0,0,0,0,4,4,0,4,1
COMPLETE-SET-AND-BULK_mOTU_426,0,0,0,18,0,0,0,0,0,0,13,0,8,0,0,0,2
COMPLETE-SET-AND-BULK_mOTU_445,0,1,0,0,0,0,1,1,0,2,2,0,2,2,2,2,1
COMPLETE-SET-AND-BULK_mOTU_453,0,0,2,2,0,2,0,2,0,2,2,1,2,2,2,2,0
COMPLETE-SET-AND-BULK_mOTU_483,1,1,1,3,1,1,1,3,1,0,1,1,2,3,1,3,1
COMPLETE-SET-AND-BULK_mOTU_584,0,0,0,0,2,0,0,2,2,2,2,2,0,1,2,2,2
COMPLETE-SET-AND-BULK_mOTU_642,9,0,0,8,0,0,0,0,0,9,9,0,8,10,10,9,0
COMPLETE-SET-AND-BULK_mOTU_710,0,0,0,2,0,0,0,2,0,5,5,0,0,4,0,0,0
COMPLETE-SET-AND-BULK_mOTU_723,1,0,0,1,0,0,0,6,0,1,1,2,1,5,1,1,1
COMPLETE-SET-AND-BULK_mOTU_758,2,1,0,1,1,1,0,12,1,1,1,1,1,14,3,14,1
COMPLETE-SET-AND-BULK_mOTU_788,1,1,0,1,0,0,0,3,0,1,1,0,0,3,3,3,1
COMPLETE-SET-AND-BULK_mOTU_840,5,1,1,5,2,2,1,5,3,4,4,1,4,6,4,6,6
COMPLETE-SET-AND-BULK_mOTU_895,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
