,bin_names,K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15018,K15019,K15020,K15036,K15037,K15038,K15039,mOTU,gtdbtk_classif_r207,percent_completion
0,bulkbins-MOSAIC-MIME-BINNING-17_bin-87,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_397,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182325,45.07042253521126
1,bulkbins-MOSAIC-MIME-BINNING-1403_bin-067,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,COMPLETE-SET-AND-BULK_mOTU_761,,1e-05
2,bulkbins-ODEN-2013-BINNING-medium-COASS_bin-4503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_253,,1e-05
3,bulkbins-ODEN-2013-BINNING-COASS_bin-1904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_038,,1e-05
4,bulkbins-MOSAIC-MIME-BINNING-2603_bin-038,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_414,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides marinisabuli,97.1830985915493
5,bulkbins-MOSAIC-MIME-BINNING-2503_bin-034,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,100.0
6,SRR9019638.7,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_324,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA9040;s__UBA9040 sp905182565,95.77464788732394
7,ERR5006264.19,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,94.3661971830986
8,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-498,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_146,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA4457;s__,1e-05
9,bulkbins-MOSAIC-MIME-BINNING-1003_bin-026,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_475,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182455,61.971830985915496
10,bulkbins-MOSAIC-MIME-BINNING-17_bin-94,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_265,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-2697345;s__GCA-2697345 sp905181985,92.95774647887325
