mOTU,K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15018,K15019,K15020,K15036,K15037,K15038,K15039,M00375
COMPLETE-SET-AND-BULK_mOTU_024,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0.0
COMPLETE-SET-AND-BULK_mOTU_025,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_033,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_038,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_043,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_088,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_089,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_097,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0.0
COMPLETE-SET-AND-BULK_mOTU_098,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_099,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_126,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0
COMPLETE-SET-AND-BULK_mOTU_136,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0.0
COMPLETE-SET-AND-BULK_mOTU_146,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_154,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_163,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_172,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_174,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_179,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_226,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0.0
COMPLETE-SET-AND-BULK_mOTU_233,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_244,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_253,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_261,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_265,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_278,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_292,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_293,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_319,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_324,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0.0
COMPLETE-SET-AND-BULK_mOTU_328,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_335,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_345,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_352,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_360,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_364,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_368,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_369,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_375,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_378,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_380,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_381,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_390,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
