members,K00297,K01491,K01938,K15022,M00377
ERR2206752.10,0,1,0,0,0.1111111111111111
ERR2206752.23,0,1,0,0,0.1111111111111111
ERR2206752.35,1,0,0,0,0.1111111111111111
ERR2206752.7,0,1,0,0,0.1111111111111111
ERR3589553.46,1,0,0,0,0.1111111111111111
ERR3589554.18,1,0,0,0,0.1111111111111111
ERR3589554.27,1,0,0,0,0.1111111111111111
ERR3589554.29,1,1,0,0,0.2222222222222222
ERR3589554.41,1,0,0,0,0.1111111111111111
ERR3589554.56,0,1,0,0,0.1111111111111111
ERR3589554.63,1,0,0,0,0.1111111111111111
ERR3589555.28,1,0,0,0,0.1111111111111111
ERR3589555.46,1,0,0,0,0.1111111111111111
ERR3589556.14,0,1,0,0,0.1111111111111111
ERR3589556.22,0,1,0,0,0.1111111111111111
ERR3589556.32,1,0,1,0,0.2222222222222222
ERR3589556.66,1,0,0,0,0.1111111111111111
ERR3589557.15,0,1,0,0,0.1111111111111111
ERR3589557.35,1,0,0,0,0.1111111111111111
ERR3589557.63,0,0,1,0,0.1111111111111111
ERR3589557.76,1,0,0,0,0.1111111111111111
ERR3589557.91,0,1,0,0,0.1111111111111111
ERR3589557.95,1,0,1,0,0.2222222222222222
ERR3589557.98,0,1,0,0,0.1111111111111111
ERR3589558.13,1,0,0,0,0.1111111111111111
ERR3589558.14,0,1,0,0,0.1111111111111111
ERR3589558.22,0,1,0,0,0.1111111111111111
ERR3589558.42,1,0,0,0,0.1111111111111111
ERR3589558.59,0,1,0,0,0.1111111111111111
ERR3589558.73,1,0,0,0,0.1111111111111111
ERR3589558.82,0,1,0,0,0.1111111111111111
ERR3589559.100,1,0,0,0,0.1111111111111111
ERR3589559.14,0,1,0,0,0.1111111111111111
ERR3589559.16,1,1,0,0,0.2222222222222222
ERR3589559.23,1,0,0,0,0.1111111111111111
ERR3589559.27,0,1,0,0,0.1111111111111111
ERR3589559.35,1,0,0,0,0.1111111111111111
ERR3589559.47,1,0,0,0,0.1111111111111111
ERR3589559.59,1,0,0,0,0.1111111111111111
ERR3589559.85,0,1,0,0,0.1111111111111111
ERR3589561.60,1,0,0,0,0.1111111111111111
ERR3589561.62,1,0,0,0,0.1111111111111111
ERR3589561.65,0,1,0,0,0.1111111111111111
ERR3589561.90,0,1,0,0,0.1111111111111111
ERR3589562.11,0,1,0,0,0.1111111111111111
ERR3589562.13,0,1,0,0,0.1111111111111111
ERR3589563.38,0,1,0,0,0.1111111111111111
ERR3589563.55,0,0,0,7,0.0
ERR3589563.67,1,0,0,0,0.1111111111111111
ERR3589563.79,0,1,0,0,0.1111111111111111
ERR3589563.88,1,0,0,0,0.1111111111111111
ERR3589565.28,1,0,1,0,0.2222222222222222
ERR3589566.20,0,0,1,0,0.1111111111111111
ERR3589566.31,1,0,0,0,0.1111111111111111
ERR3589566.73,1,1,0,0,0.2222222222222222
ERR3589566.75,1,0,1,0,0.2222222222222222
ERR3589567.19,1,0,0,0,0.1111111111111111
ERR3589567.66,0,1,0,0,0.1111111111111111
ERR3589567.72,1,0,0,0,0.1111111111111111
ERR3589569.24,1,0,0,0,0.1111111111111111
ERR3589570.42,1,0,0,0,0.1111111111111111
ERR3589570.5,1,0,0,0,0.1111111111111111
ERR3589570.78,0,1,0,0,0.1111111111111111
ERR3589570.85,0,0,0,1,0.0
ERR3589570.93,1,1,0,0,0.2222222222222222
ERR3589571.62,1,0,0,0,0.1111111111111111
ERR3589571.63,0,1,0,0,0.1111111111111111
ERR3589571.68,0,1,0,0,0.1111111111111111
ERR3589571.74,1,0,0,0,0.1111111111111111
ERR3589572.19,1,0,0,0,0.1111111111111111
ERR3589572.37,1,1,0,0,0.2222222222222222
ERR3589572.44,1,1,0,0,0.2222222222222222
ERR3589572.53,0,1,0,0,0.1111111111111111
ERR3589572.61,1,0,0,0,0.1111111111111111
ERR3589573.11,1,0,0,0,0.1111111111111111
ERR3589573.43,1,1,0,0,0.2222222222222222
ERR3589573.55,1,0,0,0,0.1111111111111111
ERR3589573.61,1,0,0,0,0.1111111111111111
ERR3589574.51,1,1,0,0,0.2222222222222222
ERR3589574.54,1,0,0,0,0.1111111111111111
ERR3589574.57,1,0,0,0,0.1111111111111111
ERR3589574.59,1,0,0,0,0.1111111111111111
ERR3589574.70,0,1,0,0,0.1111111111111111
ERR3589574.81,0,0,0,1,0.0
ERR3589575.17,0,1,0,0,0.1111111111111111
ERR3589575.45,0,1,0,0,0.1111111111111111
ERR3589575.9,0,1,0,0,0.1111111111111111
ERR3589576.24,0,1,0,0,0.1111111111111111
ERR3589576.59,0,1,0,0,0.1111111111111111
ERR3589576.71,0,1,0,0,0.1111111111111111
ERR3589577.18,1,0,0,0,0.1111111111111111
ERR3589578.4,1,0,0,0,0.1111111111111111
ERR3589578.48,1,0,0,0,0.1111111111111111
ERR3589578.80,1,0,1,0,0.2222222222222222
ERR3589578.83,1,0,0,0,0.1111111111111111
ERR3589578.98,0,1,0,0,0.1111111111111111
ERR3589579.49,0,0,0,1,0.0
ERR3589579.51,1,0,0,0,0.1111111111111111
ERR3589579.58,1,0,0,0,0.1111111111111111
ERR3589579.7,1,1,0,0,0.2222222222222222
ERR3589580.17,0,1,0,0,0.1111111111111111
ERR3589580.36,0,1,0,0,0.1111111111111111
ERR3589581.2,1,0,0,0,0.1111111111111111
ERR3589581.26,0,1,0,0,0.1111111111111111
ERR3589581.40,0,1,0,0,0.1111111111111111
ERR3589581.54,0,0,1,0,0.1111111111111111
ERR3589581.7,1,0,1,0,0.2222222222222222
ERR3589581.8,0,1,0,0,0.1111111111111111
ERR3589585.38,1,0,0,0,0.1111111111111111
ERR3589585.57,1,0,0,0,0.1111111111111111
ERR3589586.17,1,0,0,0,0.1111111111111111
ERR3589586.22,0,1,0,0,0.1111111111111111
ERR3589587.18,1,0,0,0,0.1111111111111111
ERR3589587.43,1,0,0,0,0.1111111111111111
ERR3589587.59,1,0,1,0,0.2222222222222222
ERR3589587.8,1,0,0,0,0.1111111111111111
ERR3589588.25,1,0,0,0,0.1111111111111111
ERR3589588.3,1,0,1,0,0.2222222222222222
ERR3589588.33,0,1,0,0,0.1111111111111111
ERR3589588.34,1,0,0,0,0.1111111111111111
ERR3589590.20,0,1,0,0,0.1111111111111111
ERR4691603.6,0,1,0,0,0.1111111111111111
ERR4691614.18,1,0,1,0,0.2222222222222222
ERR4691614.24,1,0,0,0,0.1111111111111111
ERR4691614.30,1,1,0,0,0.2222222222222222
ERR4691614.54,0,0,1,0,0.1111111111111111
ERR4691622.33,1,0,0,0,0.1111111111111111
ERR4691627.18,1,0,0,0,0.1111111111111111
ERR4691627.22,1,1,0,0,0.2222222222222222
ERR4691627.35,1,0,0,0,0.1111111111111111
ERR4691627.5,0,1,0,0,0.1111111111111111
ERR4691638.19,1,1,0,0,0.2222222222222222
ERR4691638.23,0,0,1,0,0.1111111111111111
ERR4691638.27,1,0,0,0,0.1111111111111111
ERR4691639.14,1,0,0,0,0.1111111111111111
ERR4691639.40,1,0,0,0,0.1111111111111111
ERR4691639.9,1,0,0,0,0.1111111111111111
ERR4691646.22,1,0,0,0,0.1111111111111111
ERR4691668.15,1,0,0,0,0.1111111111111111
ERR4691668.59,1,0,0,0,0.1111111111111111
ERR4691668.67,0,1,0,0,0.1111111111111111
ERR4691668.72,1,0,0,0,0.1111111111111111
ERR4691681.15,1,1,0,0,0.2222222222222222
ERR4691681.41,0,1,0,0,0.1111111111111111
ERR4691685.9,0,1,0,0,0.1111111111111111
ERR4691694.4,1,0,0,0,0.1111111111111111
ERR4691694.40,0,1,0,0,0.1111111111111111
ERR4691694.67,1,0,0,0,0.1111111111111111
ERR4691694.9,0,1,0,0,0.1111111111111111
ERR4691695.14,1,0,0,0,0.1111111111111111
ERR4691695.38,0,1,0,0,0.1111111111111111
ERR4691695.61,0,1,0,0,0.1111111111111111
ERR4918854.13,1,0,0,0,0.1111111111111111
ERR4918854.16,1,0,0,0,0.1111111111111111
ERR4918854.35,0,0,1,0,0.1111111111111111
ERR4918854.58,1,0,0,0,0.1111111111111111
ERR4918854.74,1,0,0,0,0.1111111111111111
ERR4918855.10,0,1,0,0,0.1111111111111111
ERR4918855.18,1,0,1,0,0.2222222222222222
ERR4918855.23,0,1,0,0,0.1111111111111111
ERR4918855.42,1,0,0,0,0.1111111111111111
ERR4918855.55,0,0,1,0,0.1111111111111111
ERR4918855.62,0,1,0,0,0.1111111111111111
ERR4918855.72,1,0,0,0,0.1111111111111111
ERR4918855.74,1,0,1,0,0.2222222222222222
ERR4918856.10,0,0,0,1,0.0
ERR4918856.20,1,0,0,0,0.1111111111111111
ERR4918856.24,1,0,0,0,0.1111111111111111
ERR4918856.85,0,0,1,0,0.1111111111111111
ERR4918857.11,0,1,0,0,0.1111111111111111
ERR4918857.28,1,0,0,0,0.1111111111111111
ERR4918857.93,1,0,1,0,0.2222222222222222
ERR4918857.94,0,1,0,0,0.1111111111111111
ERR4918858.100,1,0,0,0,0.1111111111111111
ERR4918858.112,1,0,0,0,0.1111111111111111
ERR4918858.28,1,0,0,0,0.1111111111111111
ERR4918858.3,1,0,0,0,0.1111111111111111
ERR4918858.30,0,0,1,0,0.1111111111111111
ERR4918858.38,0,0,1,0,0.1111111111111111
ERR4918858.39,1,0,0,0,0.1111111111111111
ERR4918858.40,0,1,0,0,0.1111111111111111
ERR4918858.67,0,0,0,1,0.0
ERR4918858.73,1,0,0,0,0.1111111111111111
ERR4918859.11,1,0,0,0,0.1111111111111111
ERR4918860.13,1,0,0,0,0.1111111111111111
ERR4918860.15,1,0,0,0,0.1111111111111111
ERR4918860.25,1,0,0,0,0.1111111111111111
ERR4918860.39,0,0,0,1,0.0
ERR4918860.66,1,0,0,0,0.1111111111111111
ERR4918861.18,1,0,0,0,0.1111111111111111
ERR4918861.51,0,0,1,0,0.1111111111111111
ERR4918861.59,1,0,0,0,0.1111111111111111
ERR4918862.14,1,0,0,0,0.1111111111111111
ERR4918862.26,0,1,0,0,0.1111111111111111
ERR4918862.5,0,1,0,0,0.1111111111111111
ERR4918862.50,0,1,0,0,0.1111111111111111
ERR4918862.56,0,1,0,0,0.1111111111111111
ERR4918862.66,1,0,0,0,0.1111111111111111
ERR4918862.67,1,0,1,0,0.2222222222222222
ERR4918863.11,1,0,1,0,0.2222222222222222
ERR4918863.40,1,0,0,0,0.1111111111111111
ERR4918863.48,0,1,0,0,0.1111111111111111
ERR4918863.61,1,0,0,0,0.1111111111111111
ERR4918863.66,1,0,0,0,0.1111111111111111
ERR4918863.72,0,1,0,0,0.1111111111111111
ERR4918864.105,0,1,0,0,0.1111111111111111
ERR4918864.26,1,1,0,0,0.2222222222222222
ERR4918864.31,1,0,1,0,0.2222222222222222
ERR4918864.5,1,0,0,0,0.1111111111111111
ERR4918864.8,0,1,0,0,0.1111111111111111
ERR4918864.92,0,1,0,0,0.1111111111111111
ERR5001722.19,1,0,0,0,0.1111111111111111
ERR5005971.25,0,1,0,0,0.1111111111111111
ERR5005971.35,0,1,0,0,0.1111111111111111
ERR5005971.9,0,1,0,0,0.1111111111111111
ERR5006073.9,0,1,0,0,0.1111111111111111
ERR5006121.15,0,1,0,0,0.1111111111111111
ERR5006121.19,0,1,0,0,0.1111111111111111
ERR5006649.8,0,0,0,1,0.0
ERR5007764.4,0,1,0,0,0.1111111111111111
ERR5008526.17,0,1,0,0,0.1111111111111111
ERR594289.23,1,0,0,0,0.1111111111111111
ERR594289.26,0,1,0,0,0.1111111111111111
ERR594302.44,0,1,0,0,0.1111111111111111
ERR594302.7,7,0,0,0,0.1111111111111111
ERR594302.71,0,1,0,0,0.1111111111111111
ERR598947.27,0,1,0,0,0.1111111111111111
ERR598947.61,0,1,0,0,0.1111111111111111
ERR599000.23,1,0,0,0,0.1111111111111111
ERR599000.3,0,0,0,1,0.0
ERR599000.43,0,1,0,0,0.1111111111111111
ERR599000.57,1,0,0,0,0.1111111111111111
ERR599008.59,1,0,0,0,0.1111111111111111
ERR599008.92,1,0,0,0,0.1111111111111111
ERR599008.93,1,0,0,0,0.1111111111111111
ERR599125.16,1,0,0,0,0.1111111111111111
ERR599125.21,1,0,0,0,0.1111111111111111
ERR599125.6,0,0,0,1,0.0
ERR599159.56,1,0,0,0,0.1111111111111111
ERR599166.106,0,0,1,0,0.1111111111111111
ERR599166.107,1,0,0,0,0.1111111111111111
ERR599166.32,1,1,0,0,0.2222222222222222
ERR599166.71,1,0,0,0,0.1111111111111111
ERR868495.42,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2103_bin-012,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2103_bin-016,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2103_bin-026,0,0,0,1,0.0
MOSAIC-MIME-BINNING-2103_bin-032,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2103_bin-047,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2103_bin-071,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2103_bin-073,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2103_bin-083,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2103_bin-090,0,1,1,0,0.2222222222222222
MOSAIC-MIME-BINNING-2103_bin-094,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2103_bin-098,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2103_bin-123,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2203_bin-10,0,0,0,7,0.0
MOSAIC-MIME-BINNING-2203_bin-12,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2203_bin-17,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2203_bin-53,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2203_bin-63,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2203_bin-65,1,1,0,0,0.2222222222222222
MOSAIC-MIME-BINNING-2303_bin-003,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-016,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-028,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-034,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-038,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-044,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-048,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-050,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-078,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-087,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-088,0,1,1,0,0.2222222222222222
MOSAIC-MIME-BINNING-2303_bin-092,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-105,0,0,0,1,0.0
MOSAIC-MIME-BINNING-2303_bin-107,1,0,1,0,0.2222222222222222
MOSAIC-MIME-BINNING-2303_bin-114,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-119,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-133,1,1,0,0,0.2222222222222222
