eggNOG	KO
COG2081	K07007
COG0584	K01126
COG0718	K09747
COG3407	K01597
COG3425	K01641
COG1882	K00656
COG1193	K07456
COG3633	K07862
COG0225	K07304
COG1455	K02761
COG1440	K02760
COG2843	K07282
COG0028	K01652
2EGU7	K01992
COG1131	K01990
COG4721	K16925
COG0620	K00549
COG0360	K02990
COG0629	K03111
COG0238	K02963
COG0178	K03701
COG0781	K03625
COG0527	K00928
COG0332	K00648
COG0236	K02078
COG0331	K00645
COG1028	K00059
COG0511	K02160
COG0777	K01963
COG0825	K01962
COG0586	K03975
COG0172	K01875
COG3715	K02795
COG2252	K06901
COG0802	K06925
COG0537	K02503
COG4473	K01992
COG0220	K03439
COG0779	K09748
COG0195	K02600
COG2740	K07742
COG0858	K02834
COG1820	K01443
COG0752	K01878
COG0751	K01879
COG0569	K03499
COG0168	K03498
COG0275	K03438
COG0191	K01624
COG0227	K02902
COG1126	K02028
COG0765	K02029
COG1968	K06153
COG4862	K16511
COG0396	K09013
COG0520	K11717
COG1686	K07258
COG0492	K00384
COG1488	K00763
COG3579	K01372
COG3331	K03700
2DB6P	K20073
COG0450	K03386
COG3634	K03387
COG1854	K07173
COG0194	K00942
COG1198	K04066
COG0223	K00604
COG0144	K03500
COG3557	K07586
COG2137	K03565
COG4098	K02240
COG1544	K05808
COG0669	K00954
COG3480	K07177
COG0820	K06941
COG0783	K04047
COG1217	K06207
COG0771	K01925
COG0707	K02563
COG0849	K03590
COG0206	K03531
COG0325	K06997
COG1799	K09772
COG0762	K02221
COG0060	K01870
COG1274	K01596
COG2374	K07004
COG1180	K04069
COG0769	K01928
COG1168	K14155
COG0035	K00761
COG0740	K01358
COG0683	K01999
COG0559	K01997
COG4177	K01998
COG0411	K01995
COG0410	K01996
COG0125	K00943
COG0313	K07056
COG0177	K10773
COG0708	K01142
COG0577	K02004
COG0842	K01992
COG1136	K02003
COG1278	K03704
COG1207	K04042
COG1674	K03466
COG0080	K02867
COG0081	K02863
COG1048	K01681
COG0372	K01647
COG0538	K00031
COG0528	K09903
COG0233	K02838
COG2996	K00243
COG1466	K02340
COG0605	K04564
COG2235	K01478
COG0078	K00611
COG0549	K00926
COG1438	K03402
COG0809	K07568
COG2223	K02575
COG4469	K06198
COG1164	K08602
COG0013	K01872
COG1512	K06872
COG1078	K06885
COG2884	K09812
COG2177	K09811
COG4477	K06286
COG2706	K07404
COG3527	K01575
COG2984	K01989
COG4120	K05832
COG1101	K05833
COG4152	K01990
COG3857	K16899
COG0297	K00703
COG0058	K00688
COG0356	K02108
COG0711	K02109
COG0712	K02113
COG0056	K02111
COG0224	K02115
COG0355	K02114
COG0766	K00790
2ETXU	K15051
COG1380	K06518
