members,K00239,K00240,K00241,K01679,K01847,K01848,K01849,K01961,K01962,K01963,K02160,K05606,M00376
ERR2206752.13,3,0,0,0,0,0,2,0,0,0,0,0,0.09259259259259259
ERR2206752.16,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR2206752.2,3,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR2206752.25,0,0,0,0,0,0,0,0,0,0,1,0,0.027777777777777776
ERR2206752.3,0,0,0,0,0,0,2,0,0,0,0,0,0.05555555555555555
ERR2206752.35,0,3,0,2,0,0,0,0,0,0,0,0,0.14814814814814814
ERR2206752.7,0,0,0,0,0,0,0,0,1,1,0,0,0.05555555555555555
ERR3589553.24,0,0,0,0,0,0,0,0,0,0,0,4,0.1111111111111111
ERR3589553.26,0,0,0,2,0,0,0,0,0,0,1,0,0.1388888888888889
ERR3589553.45,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589553.52,0,0,0,2,1,0,0,0,0,0,0,0,0.2222222222222222
ERR3589553.70,0,0,0,0,0,0,0,0,0,1,1,2,0.16666666666666666
ERR3589553.8,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589554.1,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589554.12,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589554.15,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589554.18,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589554.24,0,0,0,0,1,0,0,0,0,0,0,0,0.1111111111111111
ERR3589554.27,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589554.28,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589554.29,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589554.33,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589554.37,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589554.46,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589554.56,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589554.6,0,0,0,0,1,0,0,0,0,1,1,2,0.2777777777777778
ERR3589554.63,3,3,0,0,0,0,0,0,0,0,1,0,0.10185185185185185
ERR3589555.14,0,3,3,0,0,0,0,0,0,0,0,0,0.07407407407407407
ERR3589555.28,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589555.3,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589555.33,0,0,0,0,0,0,0,0,0,0,1,0,0.027777777777777776
ERR3589555.34,0,3,0,2,0,0,0,0,0,0,0,0,0.14814814814814814
ERR3589555.41,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589555.42,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589555.45,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR3589555.46,0,0,0,0,0,0,0,1,1,0,1,0,0.08333333333333333
ERR3589555.47,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589556.10,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589556.20,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589556.53,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589556.57,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589556.59,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589556.6,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589556.63,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589556.65,0,3,0,0,0,0,0,1,1,0,1,0,0.12037037037037036
ERR3589556.66,0,0,0,0,0,0,0,0,1,0,0,2,0.1388888888888889
ERR3589556.68,0,0,0,0,1,0,0,0,0,0,0,2,0.2222222222222222
ERR3589556.74,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589557.15,0,0,0,0,0,0,0,0,0,1,0,2,0.1388888888888889
ERR3589557.19,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589557.26,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589557.35,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589557.46,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589557.60,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589557.61,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589557.72,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589557.76,0,1,0,0,0,0,0,0,0,1,0,0,0.06481481481481481
ERR3589557.77,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589557.84,0,0,3,0,0,0,0,0,0,1,0,0,0.06481481481481481
ERR3589557.93,3,3,3,0,0,0,0,0,1,0,0,0,0.1388888888888889
ERR3589558.11,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589558.12,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589558.13,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589558.14,0,0,0,0,0,0,0,1,0,1,1,0,0.08333333333333333
ERR3589558.21,0,0,0,0,0,0,0,1,1,0,1,0,0.08333333333333333
ERR3589558.35,0,0,3,0,0,0,0,1,0,0,1,0,0.09259259259259259
ERR3589558.37,0,0,0,0,1,0,0,0,0,0,1,0,0.1388888888888889
ERR3589558.44,0,3,0,0,0,0,0,1,0,1,1,0,0.12037037037037036
ERR3589558.63,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589558.67,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589558.69,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589558.73,3,0,3,0,0,0,0,0,0,0,1,0,0.10185185185185185
ERR3589558.77,0,0,3,0,0,0,0,0,0,1,0,0,0.06481481481481481
ERR3589558.81,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589559.1,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589559.10,0,0,0,0,0,0,0,1,0,0,0,0,0.027777777777777776
ERR3589559.102,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589559.104,3,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589559.16,0,0,0,0,0,0,0,0,0,7,0,0,0.027777777777777776
ERR3589559.23,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589559.27,0,0,0,2,0,0,0,1,0,1,1,0,0.19444444444444445
ERR3589559.34,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589559.42,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589559.47,0,0,3,0,0,0,0,0,0,0,1,0,0.06481481481481481
ERR3589559.56,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589559.59,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589559.66,0,0,3,0,0,0,0,0,0,1,0,0,0.06481481481481481
ERR3589559.67,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589559.7,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589559.70,3,0,3,2,0,0,0,0,7,0,0,0,0.21296296296296294
ERR3589559.74,0,3,3,2,0,0,0,1,0,0,0,0,0.21296296296296294
ERR3589559.77,0,0,0,0,1,0,0,0,1,0,0,0,0.1388888888888889
ERR3589559.93,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589559.94,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589560.2,0,0,0,0,0,0,0,0,1,1,0,0,0.05555555555555555
ERR3589560.20,0,0,0,0,0,0,0,1,1,0,1,0,0.08333333333333333
ERR3589560.24,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589560.27,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589560.29,0,0,0,0,0,2,0,0,0,1,0,0,0.08333333333333333
ERR3589560.33,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR3589561.14,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589561.18,0,0,6,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589561.2,0,0,3,0,0,0,0,0,0,0,0,2,0.14814814814814814
ERR3589561.26,0,0,0,0,1,0,0,0,0,0,0,0,0.1111111111111111
ERR3589561.30,3,3,0,0,0,0,0,0,0,0,0,0,0.07407407407407407
ERR3589561.36,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589561.66,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589561.67,0,0,3,0,0,0,0,0,0,1,0,0,0.06481481481481481
ERR3589561.71,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR3589561.84,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589561.88,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589561.89,0,3,0,0,0,0,0,0,1,0,0,0,0.06481481481481481
ERR3589562.13,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589562.8,0,0,3,0,0,0,0,1,0,0,1,0,0.09259259259259259
ERR3589563.18,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589563.32,0,0,0,0,0,0,0,1,1,0,1,2,0.19444444444444445
ERR3589563.35,0,0,0,0,0,0,2,0,0,0,0,0,0.05555555555555555
ERR3589563.4,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589563.50,0,3,0,0,0,0,0,0,0,1,1,0,0.09259259259259259
ERR3589563.53,0,0,0,0,0,0,0,7,0,0,1,0,0.05555555555555555
