,bin_names,K00239,K00240,K00241,K01679,K01847,K01848,K01849,K01961,K01962,K01963,K02160,K05606,K14468,K14471,K14472,K15052,M00376,mOTU,gtdbtk_classif_r207,mOTUpan_completeness
1,ERR3589553.24,1,0,1,2,0,1,1,3,0,1,0,0,0,0,0,1,0.32,COMPLETE-SET-AND-BULK_mOTU_081,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__Yoonia sp905182645,98.25396825396824
8,ERR4918858.30,3,0,0,2,0,2,2,7,0,0,3,8,0,2,2,0,0.37,COMPLETE-SET-AND-BULK_mOTU_658,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp905181925,93.04979253112032
9,ERR4918861.26,1,0,1,0,0,2,3,5,0,0,0,7,0,0,0,1,0.3,COMPLETE-SET-AND-BULK_mOTU_835,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182535,99.53271028037383
17,MOSAIC-MIME-BINNING-2103_bin-104,3,0,0,1,0,0,1,4,0,0,7,1,0,0,0,1,0.33,COMPLETE-SET-AND-BULK_mOTU_519,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cognaticolwellia;s__Cognaticolwellia sp003061515,0.01
18,MOSAIC-MIME-BINNING-2103_bin-115,0,0,0,2,3,3,3,0,0,0,0,7,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_115,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Loktanella;s__Loktanella salsilacus,92.2615076717812
19,MOSAIC-MIME-BINNING-2103_bin-123,0,0,0,0,3,2,0,1,2,2,8,62,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,95.630081300813
22,MOSAIC-MIME-BINNING-2303_bin-079,3,0,0,1,0,0,1,4,0,0,7,3,0,0,0,1,0.33,COMPLETE-SET-AND-BULK_mOTU_519,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cognaticolwellia;s__Cognaticolwellia sp003061515,99.9
23,MOSAIC-MIME-BINNING-2303_bin-147,0,0,0,2,3,0,0,3,0,0,0,1,0,0,0,1,0.33,COMPLETE-SET-AND-BULK_mOTU_117,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__,98.14814814814817
28,MOSAIC-MIME-BINNING-2503_bin-054,0,0,0,2,3,0,0,3,0,0,0,1,0,0,0,1,0.33,COMPLETE-SET-AND-BULK_mOTU_117,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__,99.9
30,MOSAIC-MIME-BINNING-2603_bin-066,0,0,0,0,3,2,0,1,2,2,8,62,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,99.59349593495936
