mOTU,K00024,K00031,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K01006,K01007,K01595,K01676,K01677,K01678,K01679,K01681,K01682,K01902,K01903,K01958,K01959,K01960,K03737,K15230,K15231,K15232,K15234,K18556,K18557,K18560,nb_bins,mean_bin_completion,highest_bin_completion
COMPLETE-SET-AND-BULK_mOTU_012,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,78.87323943661971,87.32394366197181
COMPLETE-SET-AND-BULK_mOTU_047,0.5,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,57.3943661971831,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_057,0.8571428571428571,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,78.26961770623743,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_070,1.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8,0.0,1.0,0.8,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,5,77.46478873239435,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_074,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2,90.14084507042253,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_121,0.75,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,4,75.0,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_150,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,3,98.12206572769954,100.0
COMPLETE-SET-AND-BULK_mOTU_159,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2,91.54929577464789,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_167,0.375,0.375,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.375,0.0,0.0,0.0,0.375,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,8,86.44366197183098,100.0
COMPLETE-SET-AND-BULK_mOTU_230,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,83.09859154929576,100.0
COMPLETE-SET-AND-BULK_mOTU_253,0.23863636363636365,0.011363636363636364,0.011363636363636364,0.0,0.022727272727272728,0.0,0.0,0.0,0.25,0.0,0.056818181818181816,0.0,0.045454545454545456,0.09090909090909091,0.22727272727272727,0.25,0.0,0.011363636363636364,0.03409090909090909,0.022727272727272728,0.0,0.0,0.14772727272727273,0.13636363636363635,0.0,0.011363636363636364,0.0,0.011363636363636364,0.011363636363636364,0.25,0.25,0.011363636363636364,0.0,0.0,0.0,0.0,0.011363636363636364,0.22727272727272727,0.0,0.0,88,20.6946297791293,100.0
COMPLETE-SET-AND-BULK_mOTU_258,1.0,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,6,71.36150234741783,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_281,1.0,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,6,64.55399061032864,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_289,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,94.83568075117371,100.0
COMPLETE-SET-AND-BULK_mOTU_335,0.02564102564102564,0.07692307692307693,0.0,0.0,0.358974358974359,0.0,0.02564102564102564,0.02564102564102564,0.38461538461538464,0.0,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.0,0.05128205128205128,0.02564102564102564,0.1282051282051282,0.0,0.0,0.0,0.0,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.38461538461538464,0.38461538461538464,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,39,34.23619147706752,100.0
COMPLETE-SET-AND-BULK_mOTU_352,0.1,0.9,0.1,0.2,0.4,0.9,0.0,0.0,1.0,0.9,1.0,0.2,0.2,0.4,1.0,1.0,0.1,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.2,0.3,0.0,0.1,0.9,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,90.28169014084506,100.0
COMPLETE-SET-AND-BULK_mOTU_364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.7058823529411765,0.7058823529411765,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,17,55.840932038111006,100.0
COMPLETE-SET-AND-BULK_mOTU_378,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.375,0.0,0.75,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.75,0.625,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,8,81.86619843309859,100.0
