members,K00024,K00169,K00170,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01677,K01678,K01902,K01903,K14534,K15016,M00374
ERR2206752.10,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.15384615384615385
ERR2206752.13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR2206752.16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR2206752.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0.11538461538461539
ERR2206752.23,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0.15384615384615385
ERR2206752.35,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR2206752.6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR2206752.7,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0.15384615384615385
ERR2206752.9,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0.11538461538461539
ERR3589553.24,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.15384615384615385
ERR3589553.26,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589553.31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589553.41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589553.45,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589553.70,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589554.12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589554.15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589554.24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589554.27,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589554.37,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.23076923076923078
ERR3589554.41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589554.46,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589554.6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589554.63,3,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0.15384615384615385
ERR3589555.14,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589555.28,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589555.3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589555.34,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589555.41,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589555.42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589555.45,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0.07692307692307693
ERR3589555.46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589555.47,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589555.48,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589556.2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589556.32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589556.34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589556.53,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589556.57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589556.59,0,0,0,0,3,3,3,0,2,0,0,0,0,0,0,0,0.11538461538461539
ERR3589556.63,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.15384615384615385
ERR3589556.65,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589556.66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589557.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589557.17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589557.20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0.15384615384615385
ERR3589557.26,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589557.34,3,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0.19230769230769232
ERR3589557.61,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589557.72,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.15384615384615385
ERR3589557.76,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589557.77,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589557.84,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589557.89,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589557.90,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.15384615384615385
ERR3589557.93,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589557.95,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589558.13,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589558.14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
